
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 459,23;  773,307;  650,251;  845,386;63,06214
 459,82; 1925,860; 1747,242; 1992,276;72,89519
 460,40; 1338,977; 1235,259; 1406,944;60,41203
 460,99; 1150,484; 1078,223; 1196,262;61,21794
 461,58; 1518,264; 1349,242; 1534,517;91,22737
 462,17;  404,111;  253,251;  528,627;54,78328
 462,75;  780,359;  622,248;  808,763;84,77138
 463,34; 1198,812; 1102,245; 1352,140;38,64288
 463,93; 1292,014; 1155,257; 1480,356;42,06648
 464,52; 1427,902; 1361,227; 1603,955;27,46883
 465,10; 1221,777; 1041,265; 1311,431;66,81520
 465,69; 1809,414; 1525,221; 1889,192;78,08120
 466,28;  583,142;  387,231;  724,096;58,15728
 466,86; 1659,034; 1618,244; 1761,588;28,45631
 467,45;  445,977;  211,259;  514,944;77,29013
 468,04;  471,156;  291,248;  424,522;134,99104
 468,63; 1253,470; 1081,253; 1381,974;57,26804
 469,21; 1446,380; 1182,229; 1417,508;112,27126
 469,80; 1930,111; 1571,251; 1954,627;93,60518
 470,39; 1628,658; 1430,218; 1653,086;89,03927
 470,97;  941,281;  696,253; 1132,698;56,14194
 471,56;  726,214;  415,263;  757,843;90,76741
 472,15; 1379,021; 1107,226; 1467,161;75,51203
 472,73; 1053,741;  832,249; 1249,557;53,07634
 473,32; 1648,642; 1365,231; 1642,096;102,36456
 473,91;  588,438;  352,237;  826,342;49,82045
 474,49; 2005,734; 1718,238; 1988,100;106,53444
 475,08;  822,917;  610,227;  902,920;72,66657
 475,67; 1241,113;  876,233; 1347,166;77,48017
 476,25; 1991,324; 1723,226; 2065,402;78,35089
 476,84;  878,420;  542,232; 1037,648;67,85968
 477,43; 1445,522; 1167,250; 1525,351;77,70778
 478,01; 1606,874; 1415,247; 1724,728;61,91894
 478,60;  603,239;  346,231;  798,854;56,78176
 479,19; 1302,676; 1010,223; 1401,779;74,68995
 479,77; 1006,156;  727,242; 1106,035;73,63239
 480,36;  947,957;  630,236; 1056,548;74,52781
 480,94;  931,368;  604,229; 1027,784;77,23653
 481,53; 1470,026; 1159,244; 1594,105;71,46707
