
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 30
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 434,52;  390,641;  327,377;  388,793;103,00866
 435,11; 1157,046; 1120,760; 1179,472;61,80429
 435,70;  829,332;  783,144;  867,195;54,95250
 436,29;  451,053;  367,933;  562,786;42,65791
 436,88; 1543,406; 1589,797; 1571,418; 0,00000
 437,47; 1196,199; 1201,421; 1243,170;-12,51020
 438,06; 1108,610; 1137,329; 1217,178;-35,96673
 438,65; 3990,349; 4082,678; 4084,000;-6982,60709
 439,23;  881,157;  846,810;  909,131;55,11358
 439,82; 1898,055; 1833,581; 2026,771;33,37325
 440,41; 1268,300; 1172,448; 1402,596;41,64817
 441,00; 1306,691; 1281,911; 1442,598;15,42120
 441,59; 1661,695; 1730,612; 1709,435; 0,00000
 442,18; 1112,762; 1084,990; 1196,876;24,82170
 442,77;  784,787;  740,514;  854,161;38,95711
 443,35; 2127,468; 2135,373; 2287,555;-5,19446
 443,94; 1699,994; 1753,863; 1795,983;-127,89269
 444,53;  752,785;  764,805;  742,893; 0,00000
 445,12; 1579,518; 1606,083; 1648,867;-62,08951
 445,71; 1581,651; 1567,360; 1646,842;17,98000
 446,30; 2211,196; 2202,814; 2301,368; 8,50505
 446,88;  791,242;  638,025;  916,778;54,96516
 447,47; 1530,198; 1441,942; 1717,261;32,05596
 448,06;  829,365;  692,421;  859,170;82,12619
 448,65; 1576,776; 1446,849; 1701,270;51,06767
 449,24; 2033,340; 1916,797; 2106,418;61,46100
 449,82;  930,243; 1007,849; 1055,270;-163,65630
 450,41; 1172,233; 1171,691; 1215,713; 1,23229
 451,00; 1222,753; 1150,933; 1278,786;56,17402
 451,59;  460,563;  355,193;  546,810;54,99005
 452,18; 1026,667;  900,069; 1068,154;75,31746
 452,76;  794,000;  740,968;  891,688;35,18561
 453,35; 1148,166; 1140,867; 1265,221; 5,86960
 453,94;  990,468;  931,096; 1068,581;43,18482
 454,53; 1177,103; 1111,122; 1207,007;68,81307
 455,12; 1564,070; 1594,845; 1672,032;-39,87029
 455,70;  818,061;  735,964;  860,450;65,94858
 456,29;  961,537;  974,325;  999,940;-49,91899
 456,88; 1988,153; 1909,210; 2152,760;32,41328
 457,47; 2448,331; 2359,395; 2637,743;31,95116
 458,05; 1235,301; 1106,995; 1312,114;62,55231
 458,64; 1161,137; 1043,501; 1302,448;45,42858
 459,23;  748,703;  704,021;  730,540;168,49097
 459,82; 1923,075; 1834,201; 1903,285;128,64557
 460,40; 1281,333; 1150,867; 1377,221;57,63796
 460,99; 1129,214; 1081,584; 1135,964;87,58690
 461,58; 1486,647; 1391,206; 1680,523;32,98848
 462,17;  386,842;  269,025;  351,777;142,37290
 462,75;  775,684;  658,083;  812,867;75,97745
 463,34; 1193,199; 1149,144; 1442,195;15,03315
 463,93; 1295,657; 1143,911; 1287,598;105,60939
 464,52; 1446,053; 1309,487; 1454,735;94,02237
 465,10; 1162,542; 1017,748; 1233,803;67,01728
 465,69; 1803,894; 1644,619; 2013,866;43,13497
 466,28;  573,126;  336,417;  685,932;67,72505
 466,86; 1645,401; 1529,171; 1717,621;61,67660
 467,45;  459,266;  323,867;  527,221;66,58301
 468,04;  459,178;  280,078;  447,630;106,89257
 468,63; 1251,145; 1016,977; 1325,163;75,98258
 469,21; 1434,784; 1275,461; 1526,309;63,51393
 469,80; 1899,109; 1820,025; 1939,777;66,03915
 470,39; 1614,663; 1465,672; 1681,718;68,96285
 470,97;  947,795;  802,990; 1068,876;54,46146
 471,56;  710,934;  503,792;  802,180;69,42028
 472,15; 1395,882; 1217,509; 1505,923;61,84587
 472,73; 1084,255;  915,061; 1254,679;49,81901
 473,32; 1643,793; 1414,417; 1778,932;62,92633
 473,91;  609,763;  359,294;  646,277;87,27685
 474,49; 1952,758; 1727,289; 2058,039;68,16889
 475,08;  803,576;  532,505;  996,686;58,39769
 475,67; 1230,380;  953,382; 1304,030;78,99585
 476,25; 2006,321; 1812,514; 2096,161;68,32675
 476,84;  891,025;  623,391;  950,506;81,81644
 477,43; 1454,559; 1217,039; 1509,491;81,21704
 478,01; 1637,274; 1365,100; 1755,818;69,65994
 478,60;  587,920;  374,413;  681,694;69,48276
 479,19; 1303,735; 1095,575; 1423,489;63,48021
 479,77; 1029,302;  749,197; 1235,047;57,65255
 480,36;  970,326;  598,316; 1058,465;80,84549
 480,94;  995,300;  774,448; 1083,596;71,43909
