
Integration time [ms]: 4000,000
Averaging Nr. [scans]: 10
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1803151U1
Wave   ;Sample   ;Dark     ;Reference;Transmittance
[nm]   ;[counts] ;[counts] ;[counts] ;[%]

 281,56; 1188,853; 1214,211; 1255,307;-61,70565
 282,16; 1434,933; 1549,222; 1596,470;-241,89213
 282,75; 1338,478; 1387,173; 1306,438; 0,00000
 283,35; 1745,660; 1704,230; 1774,998;58,54364
 283,95; 1802,627; 1859,226; 1827,619; 0,00000
 284,54; 1563,807; 1545,226; 1699,363;12,05476
 285,14; 1849,768; 1953,225; 1907,133; 0,00000
 285,73; 2187,036; 2212,209; 2248,618;-69,13968
 286,33; 1435,796; 1524,220; 1481,524; 0,00000
 286,93; 1532,668; 1566,225; 1536,133; 0,00000
 287,52; 1968,732; 2235,234; 2013,607; 0,00000
 288,12; 2256,946; 2309,238; 2360,012;-102,98643
 288,72; 2383,861; 2490,241; 2425,418; 0,00000
 289,31; 2229,609; 2248,225; 2264,646;-113,36564
 289,91; 2969,308; 3013,214; 2983,226; 0,00000
 290,51; 1845,081; 1930,206; 1903,698; 0,00000
 291,10; 2185,285; 2219,204; 2303,266;-40,35061
 291,70; 1415,130; 1543,246; 1473,743; 0,00000
 292,29; 2044,356; 2086,198; 2125,454;-106,58603
 292,89; 1644,420; 1583,207; 1645,928;97,59465
 293,49; 2140,833; 2343,222; 2176,470; 0,00000
 294,08; 1076,151; 1244,223; 1180,443; 0,00000
 294,68; 1398,845; 1524,216; 1476,172; 0,00000
 295,28; 1877,269; 1973,213; 1854,996; 0,00000
 295,87; 1682,833; 1670,199; 1772,914;12,30024
 296,47; 1766,230; 1810,212; 1925,767;-38,06195
 297,06; 2103,449; 2246,213; 2154,740; 0,00000
 297,66; 1146,497; 1230,231; 1171,944; 0,00000
 298,26;  858,786; 1001,226; 1010,106;-1604,09524
 298,85; 2019,451; 2011,212; 2005,023; 0,00000
 299,45; 1650,396; 1737,197; 1687,968; 0,00000
 300,04; 1616,266; 1731,203; 1748,293;-672,56013
 300,64; 1710,222; 1835,183; 1774,656; 0,00000
 301,23; 2052,660; 2145,230; 2000,998; 0,00000
 301,83; 1799,305; 1820,204; 1823,523;-629,72377
 302,43; 1877,347; 1863,225; 2007,876; 9,76280
 303,02; 1490,365; 1508,181; 1526,453;-97,51002
 303,62; 1614,646; 1624,203; 1686,036;-15,45727
 304,21; 2265,580; 2335,172; 2335,722; 0,00000
 304,81; 2352,374; 2406,199; 2490,427;-63,90300
 305,40; 1786,302; 1888,183; 1956,399;-149,35194
 306,00; 1717,563; 1844,216; 1800,145; 0,00000
 306,59; 1952,400; 1864,195; 2033,535;52,08764
 307,19; 1238,671; 1366,212; 1307,280; 0,00000
 307,79; 1689,648; 1783,202; 1770,320; 0,00000
 308,38; 1777,129; 1870,144; 1960,814;-102,58696
 308,98; 1217,895; 1278,198; 1387,684;-55,07929
 309,57; 1244,215; 1302,232; 1349,917;-121,66729
 310,17; 1960,449; 2087,328; 2086,805; 0,00000
 310,76; 2239,789; 2448,350; 2320,875; 0,00000
 311,36; 1623,922; 1691,263; 1652,745; 0,00000
 311,95; 1274,976; 1473,198; 1294,711; 0,00000
 312,55; 3027,268; 3163,259; 3240,109;-176,95670
 313,14; 1010,956; 1094,232; 1100,431;-1343,40797
 313,74; 1152,826; 1356,215; 1248,199; 0,00000
 314,33; 1986,378; 1984,197; 1922,995; 0,00000
 314,93; 2143,683; 2227,205; 2242,982;-529,39866
 315,52; 1987,465; 2056,215; 2013,429; 0,00000
 316,12; 1644,229; 1705,201; 1681,347; 0,00000
 316,71; 5224,313; 5380,223; 5305,213; 0,00000
 317,31;  839,522;  832,217;  892,632;12,09206
 317,90; 1370,123; 1406,228; 1509,052;-35,11311
 318,50; 1193,726; 1180,215; 1257,199;17,55103
 319,09; 1028,754; 1143,199; 1043,171; 0,00000
 319,69; 1684,480; 1842,219; 1682,835; 0,00000
 320,28; 1638,738; 1746,208; 1671,901; 0,00000
 320,88; 1487,447; 1595,191; 1536,900; 0,00000
 321,47; 1145,226;  986,215; 1323,199;47,18661
 322,07; 1249,417; 1448,220; 1270,781; 0,00000
 322,66; 1269,499; 1325,207; 1394,672;-80,19668
 323,26; 1272,920; 1353,184; 1211,372; 0,00000
 323,85; 1650,022; 1714,217; 1678,632; 0,00000
 324,45;  800,353;  977,211;  830,307; 0,00000
 325,04; 1180,981; 1254,206; 1236,698; 0,00000
 325,64; 1612,494; 1683,222; 1607,240; 0,00000
 326,23; 1360,249; 1433,213; 1393,740; 0,00000
 326,83; 1945,285; 2037,204; 2163,266;-72,91619
 327,42; 1583,086; 1727,226; 1704,106; 0,00000
 328,01; 1521,275; 1553,210; 1577,847;-129,61770
 328,61;  734,607;  856,226;  801,363; 0,00000
 329,20; 2041,348; 2137,202; 2038,320; 0,00000
 329,80;  821,785;  843,181;  860,709;-122,06487
 330,39; 1482,449; 1520,213; 1506,740; 0,00000
 330,99; 1076,851; 1175,212; 1173,023; 0,00000
 331,58; 1201,312; 1280,212; 1134,794; 0,00000
