#date: 26.11.2020	time: 19:50:14
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
5.64866E+2	1.56455E-1	2.07105E-4	1.80091E-2	8.68755E+0	2.81761E-3	4.73395E+2
5.65520E+2	1.56553E-1	2.05782E-4	1.78941E-2	8.74889E+0	2.80138E-3	4.77732E+2
5.66126E+2	1.57105E-1	2.05231E-4	1.78462E-2	8.80326E+0	2.80372E-3	4.81576E+2
5.66726E+2	1.56676E-1	2.05823E-4	1.78977E-2	8.75398E+0	2.80413E-3	4.78092E+2
5.67406E+2	1.56032E-1	2.06082E-4	1.79202E-2	8.70704E+0	2.79612E-3	4.74773E+2
5.68127E+2	1.56910E-1	2.05760E-4	1.78922E-2	8.76974E+0	2.80747E-3	4.79206E+2
5.68846E+2	1.56036E-1	2.06136E-4	1.79249E-2	8.70497E+0	2.79692E-3	4.74627E+2
5.69567E+2	1.56700E-1	2.06902E-4	1.79915E-2	8.70970E+0	2.81926E-3	4.74961E+2
5.70286E+2	1.57413E-1	2.06591E-4	1.79644E-2	8.76247E+0	2.82783E-3	4.78692E+2
5.71006E+2	1.57116E-1	2.05215E-4	1.78448E-2	8.80458E+0	2.80370E-3	4.81669E+2
5.71727E+2	1.56746E-1	2.06209E-4	1.79312E-2	8.74150E+0	2.81064E-3	4.77210E+2
5.72426E+2	1.57504E-1	2.05774E-4	1.78934E-2	8.80236E+0	2.81829E-3	4.81512E+2
5.73026E+2	1.56431E-1	2.06535E-4	1.79595E-2	8.71022E+0	2.80943E-3	4.74998E+2
5.73626E+2	1.57182E-1	2.05157E-4	1.78398E-2	8.81077E+0	2.80409E-3	4.82107E+2
5.74318E+2	1.57713E-1	2.06685E-4	1.79726E-2	8.77520E+0	2.83451E-3	4.79592E+2
5.75039E+2	1.57243E-1	2.05450E-4	1.78652E-2	8.80166E+0	2.80918E-3	4.81463E+2
5.75766E+2	1.57136E-1	2.05523E-4	1.78716E-2	8.79252E+0	2.80827E-3	4.80816E+2
5.76485E+2	1.57031E-1	2.06524E-4	1.79586E-2	8.74402E+0	2.82005E-3	4.77387E+2
5.77207E+2	1.57613E-1	2.06508E-4	1.79572E-2	8.77716E+0	2.83029E-3	4.79731E+2
5.77926E+2	1.57135E-1	2.04999E-4	1.78260E-2	8.81493E+0	2.80110E-3	4.82401E+2
5.78646E+2	1.57041E-1	2.05530E-4	1.78721E-2	8.78690E+0	2.80665E-3	4.80419E+2
5.79365E+2	1.57287E-1	2.06619E-4	1.79669E-2	8.75428E+0	2.82595E-3	4.78113E+2
5.80045E+2	1.56845E-1	2.06202E-4	1.79306E-2	8.74734E+0	2.81234E-3	4.77623E+2
5.80677E+2	1.57370E-1	2.06430E-4	1.79504E-2	8.76691E+0	2.82485E-3	4.79006E+2
5.81398E+2	1.57474E-1	2.08097E-4	1.80954E-2	8.70244E+0	2.84955E-3	4.74448E+2
5.82118E+2	1.58146E-1	2.05307E-4	1.78528E-2	8.85835E+0	2.82334E-3	4.85470E+2
5.82845E+2	1.57567E-1	2.05490E-4	1.78687E-2	8.81804E+0	2.81552E-3	4.82621E+2
5.83565E+2	1.57825E-1	2.07150E-4	1.80130E-2	8.76169E+0	2.84290E-3	4.78637E+2
5.84285E+2	1.57274E-1	2.05916E-4	1.79058E-2	8.78341E+0	2.81610E-3	4.80173E+2
5.85005E+2	1.58276E-1	2.06582E-4	1.79636E-2	8.81093E+0	2.84321E-3	4.82118E+2
5.85725E+2	1.57740E-1	2.05748E-4	1.78912E-2	8.81666E+0	2.82216E-3	4.82523E+2
5.86444E+2	1.57284E-1	2.07134E-4	1.80117E-2	8.73234E+0	2.83295E-3	4.76562E+2
5.87164E+2	1.56897E-1	2.05765E-4	1.78926E-2	8.76878E+0	2.80730E-3	4.79138E+2
5.87877E+2	1.57159E-1	2.06234E-4	1.79334E-2	8.76348E+0	2.81839E-3	4.78764E+2
5.88596E+2	1.57432E-1	2.05941E-4	1.79079E-2	8.79120E+0	2.81929E-3	4.80723E+2
5.89317E+2	1.57249E-1	2.07488E-4	1.80424E-2	8.71548E+0	2.83715E-3	4.75370E+2
5.90037E+2	1.57274E-1	2.05365E-4	1.78578E-2	8.80702E+0	2.80857E-3	4.81841E+2
5.90764E+2	1.57270E-1	2.04675E-4	1.77978E-2	8.83649E+0	2.79906E-3	4.83925E+2
5.91483E+2	1.57307E-1	2.07160E-4	1.80139E-2	8.73253E+0	2.83371E-3	4.76576E+2
5.92205E+2	1.57466E-1	2.06054E-4	1.79177E-2	8.78827E+0	2.82142E-3	4.80516E+2
5.92924E+2	1.57886E-1	2.05996E-4	1.79127E-2	8.81419E+0	2.82816E-3	4.82349E+2
5.93643E+2	1.57513E-1	2.05689E-4	1.78860E-2	8.80650E+0	2.81729E-3	4.81805E+2
5.94364E+2	1.56831E-1	2.07503E-4	1.80438E-2	8.69172E+0	2.82983E-3	4.73690E+2
5.95077E+2	1.57256E-1	2.06336E-4	1.79423E-2	8.76456E+0	2.82154E-3	4.78840E+2
5.95796E+2	1.57093E-1	2.05890E-4	1.79035E-2	8.77442E+0	2.81252E-3	4.79537E+2
5.96516E+2	1.56871E-1	2.06857E-4	1.79876E-2	8.72109E+0	2.82173E-3	4.75767E+2
5.97235E+2	1.57003E-1	2.06762E-4	1.79793E-2	8.73242E+0	2.82281E-3	4.76568E+2
5.97955E+2	1.57507E-1	2.06614E-4	1.79664E-2	8.76675E+0	2.82984E-3	4.78995E+2
5.98663E+2	1.57959E-1	2.07400E-4	1.80347E-2	8.75862E+0	2.84876E-3	4.78420E+2
5.99383E+2	1.57243E-1	2.07273E-4	1.80237E-2	8.72424E+0	2.83410E-3	4.75990E+2
6.00104E+2	1.57061E-1	2.06873E-4	1.79889E-2	8.73100E+0	2.82536E-3	4.76467E+2
6.00823E+2	1.57029E-1	2.07178E-4	1.80154E-2	8.71633E+0	2.82894E-3	4.75430E+2
6.01543E+2	1.56934E-1	2.06692E-4	1.79732E-2	8.73156E+0	2.82061E-3	4.76507E+2
6.02255E+2	1.56776E-1	2.06852E-4	1.79871E-2	8.71604E+0	2.81995E-3	4.75410E+2
6.02975E+2	1.57460E-1	2.07457E-4	1.80398E-2	8.72848E+0	2.84054E-3	4.76289E+2
6.03695E+2	1.56319E-1	2.06322E-4	1.79411E-2	8.71290E+0	2.80452E-3	4.75188E+2
6.04414E+2	1.56596E-1	2.07323E-4	1.80281E-2	8.68626E+0	2.82313E-3	4.73304E+2
6.05142E+2	1.57055E-1	2.06581E-4	1.79635E-2	8.74298E+0	2.82126E-3	4.77314E+2
6.05862E+2	1.57469E-1	2.06878E-4	1.79894E-2	8.75343E+0	2.83278E-3	4.78053E+2
6.06582E+2	1.57580E-1	2.06728E-4	1.79764E-2	8.76593E+0	2.83271E-3	4.78937E+2
6.07303E+2	1.57165E-1	2.05868E-4	1.79016E-2	8.77939E+0	2.81351E-3	4.79889E+2
6.08022E+2	1.57440E-1	2.06908E-4	1.79920E-2	8.75055E+0	2.83265E-3	4.77849E+2
6.08742E+2	1.57087E-1	2.07570E-4	1.80496E-2	8.70308E+0	2.83535E-3	4.74493E+2
6.09462E+2	1.57716E-1	2.06556E-4	1.79614E-2	8.78082E+0	2.83279E-3	4.79990E+2
6.10175E+2	1.57007E-1	2.06351E-4	1.79436E-2	8.75005E+0	2.81727E-3	4.77814E+2
6.10894E+2	1.56932E-1	2.06763E-4	1.79794E-2	8.72845E+0	2.82154E-3	4.76287E+2
6.11614E+2	1.57146E-1	2.07297E-4	1.80258E-2	8.71782E+0	2.83269E-3	4.75536E+2
6.12302E+2	1.56975E-1	2.06172E-4	1.79280E-2	8.75586E+0	2.81424E-3	4.78225E+2
6.13021E+2	1.56698E-1	2.04599E-4	1.77912E-2	8.80759E+0	2.78785E-3	4.81882E+2
6.13741E+2	1.57378E-1	2.07795E-4	1.80692E-2	8.70975E+0	2.84369E-3	4.74965E+2
6.14462E+2	1.57087E-1	2.06917E-4	1.79928E-2	8.73054E+0	2.82643E-3	4.76435E+2
6.15181E+2	1.57725E-1	2.05348E-4	1.78563E-2	8.83298E+0	2.81639E-3	4.83677E+2
6.15901E+2	1.57588E-1	2.06057E-4	1.79180E-2	8.79495E+0	2.82367E-3	4.80988E+2
6.16621E+2	1.57592E-1	2.07308E-4	1.80268E-2	8.74209E+0	2.84088E-3	4.77251E+2
6.17333E+2	1.57035E-1	2.05082E-4	1.78333E-2	8.80574E+0	2.80045E-3	4.81751E+2
6.18054E+2	1.57177E-1	2.05845E-4	1.78996E-2	8.78104E+0	2.81341E-3	4.80005E+2
6.18753E+2	1.57977E-1	2.05989E-4	1.79121E-2	8.81953E+0	2.82970E-3	4.82726E+2
6.19381E+2	1.56795E-1	2.06361E-4	1.79445E-2	8.73779E+0	2.81360E-3	4.76948E+2
6.20101E+2	1.57248E-1	2.04931E-4	1.78201E-2	8.82420E+0	2.80218E-3	4.83056E+2
6.20820E+2	1.57017E-1	2.07191E-4	1.80167E-2	8.71510E+0	2.82892E-3	4.75343E+2
6.21541E+2	1.56715E-1	2.05945E-4	1.79082E-2	8.75102E+0	2.80649E-3	4.77882E+2
6.22261E+2	1.56807E-1	2.05288E-4	1.78511E-2	8.78414E+0	2.79917E-3	4.80224E+2
6.22980E+2	1.56934E-1	2.05743E-4	1.78907E-2	8.77183E+0	2.80766E-3	4.79354E+2
6.23700E+2	1.55949E-1	2.06682E-4	1.79723E-2	8.67717E+0	2.80277E-3	4.72662E+2
6.24420E+2	1.55236E-1	2.06903E-4	1.79915E-2	8.62827E+0	2.79293E-3	4.69204E+2
6.25132E+2	1.56290E-1	2.05789E-4	1.78947E-2	8.73386E+0	2.79675E-3	4.76669E+2
6.25752E+2	1.55202E-1	2.06020E-4	1.79148E-2	8.66332E+0	2.78041E-3	4.71682E+2
6.26352E+2	1.55144E-1	2.06342E-4	1.79428E-2	8.64659E+0	2.78372E-3	4.70500E+2
6.27020E+2	1.55812E-1	2.05824E-4	1.78978E-2	8.70566E+0	2.78869E-3	4.74676E+2
6.27740E+2	1.55284E-1	2.05856E-4	1.79005E-2	8.67487E+0	2.77966E-3	4.72499E+2
6.28461E+2	1.55247E-1	2.05662E-4	1.78837E-2	8.68091E+0	2.77638E-3	4.72926E+2
6.29180E+2	1.55194E-1	2.05538E-4	1.78729E-2	8.68319E+0	2.77376E-3	4.73087E+2
6.29901E+2	1.56268E-1	2.07741E-4	1.80645E-2	8.65054E+0	2.82289E-3	4.70779E+2
6.30619E+2	1.55970E-1	2.05769E-4	1.78930E-2	8.71685E+0	2.79077E-3	4.75467E+2
6.31339E+2	1.56481E-1	2.07569E-4	1.80494E-2	8.66956E+0	2.82439E-3	4.72124E+2
6.32060E+2	1.56084E-1	2.06503E-4	1.79568E-2	8.69219E+0	2.80276E-3	4.73723E+2
6.32660E+2	1.56085E-1	2.06633E-4	1.79681E-2	8.68681E+0	2.80455E-3	4.73343E+2
6.33259E+2	1.56349E-1	2.05979E-4	1.79112E-2	8.72913E+0	2.80041E-3	4.76335E+2
6.33871E+2	1.55928E-1	2.05796E-4	1.78953E-2	8.71336E+0	2.79038E-3	4.75220E+2
6.34590E+2	1.56150E-1	2.06335E-4	1.79422E-2	8.70295E+0	2.80168E-3	4.74484E+2
